reward_per_session,reward_per_switch,switches,model,cond
0.6671850699844479,23.833333333333332,18,Mouse,80-20
0.6620795107033639,36.083333333333336,12,Mouse,80-20
0.6454293628808865,17.923076923076923,26,Mouse,80-20
0.6784203102961918,15.516129032258064,31,Mouse,80-20
0.6530089628681178,10.0,51,Mouse,80-20
0.6755952380952381,5.746835443037975,79,Mouse,80-20
0.7347294938917975,8.254901960784315,51,Mouse,80-20
0.6862416107382551,5.602739726027397,73,Mouse,80-20
0.7058823529411765,9.91304347826087,46,Mouse,80-20
0.719188767550702,11.24390243902439,41,Mouse,80-20
0.7053701015965167,5.785714285714286,84,Mouse,80-20
0.7218453188602443,8.3125,64,Mouse,80-20
0.7106824925816023,5.206521739130435,92,Mouse,80-20
0.7228571428571429,8.724137931034482,58,Mouse,80-20
0.7049441786283892,5.815789473684211,76,Mouse,80-20
0.6835820895522388,6.450704225352113,71,Mouse,80-20
0.7048458149779736,7.2727272727272725,66,Mouse,80-20
0.685,4.807017543859649,114,Mouse,80-20
0.6750298685782556,16.61764705882353,34,Mouse,80-20
0.7106145251396648,8.25974025974026,77,Mouse,80-20
0.642939150401837,8.35820895522388,67,Mouse,80-20
0.6366013071895424,6.0875,80,Mouse,80-20
0.6699147381242387,6.875,80,Mouse,80-20
0.6330597889800703,7.714285714285714,70,Mouse,80-20
0.6312399355877617,6.32258064516129,62,Mouse,80-20
0.699290780141844,6.4868421052631575,76,Mouse,80-20
0.7223042836041359,11.113636363636363,44,Mouse,80-20
0.6804979253112033,7.343283582089552,67,Mouse,80-20
0.7053701015965167,10.125,48,Mouse,80-20
0.7270341207349081,9.551724137931034,58,Mouse,80-20
0.5877689694224235,11.795454545454545,44,Mouse,70-30
0.5746527777777778,7.880952380952381,42,Mouse,70-30
0.6085526315789473,8.80952380952381,63,Mouse,70-30
0.6180904522613065,10.25,48,Mouse,70-30
0.5686746987951807,10.488888888888889,45,Mouse,70-30
0.5900962861072903,9.533333333333333,45,Mouse,70-30
0.6440839694656488,11.065573770491802,61,Mouse,70-30
0.6168539325842697,11.680851063829786,47,Mouse,70-30
0.5942915392456677,11.66,50,Mouse,70-30
0.6432748538011696,15.714285714285714,35,Mouse,70-30
0.592880978865406,9.350877192982455,57,Mouse,70-30
0.6450116009280742,15.444444444444445,36,Mouse,70-30
0.6317647058823529,14.513513513513514,37,Mouse,70-30
0.5909090909090909,9.34375,64,Mouse,70-30
0.6045977011494252,15.028571428571428,35,Mouse,70-30
0.579136690647482,11.5,42,Mouse,70-30
0.5922330097087378,6.777777777777778,81,Mouse,70-30
0.5559071729957806,11.212765957446809,47,Mouse,70-30
0.5551515151515152,6.835820895522388,67,Mouse,70-30
0.6369268897149938,9.345454545454546,55,Mouse,70-30
0.6094276094276094,11.553191489361701,47,Mouse,70-30
0.6746666666666666,12.974358974358974,39,Mouse,70-30
0.6152927120669056,13.552631578947368,38,Mouse,70-30
0.6518518518518519,12.0,44,Mouse,70-30
0.5698070374574348,6.693333333333333,75,Mouse,70-30
0.6142011834319526,8.370967741935484,62,Mouse,70-30
0.5771725032425421,8.24074074074074,54,Mouse,70-30
0.6223277909738717,8.733333333333333,60,Mouse,70-30
0.6161879895561357,15.225806451612904,31,Mouse,70-30
0.6124852767962309,7.647058823529412,68,Mouse,70-30
0.6396807297605474,10.584905660377359,53,Mouse,70-30
0.6214833759590793,13.5,36,Mouse,70-30
0.6121951219512195,12.871794871794872,39,Mouse,70-30
