reward_per_session,reward_per_switch,switches,model,cond
0.6330645161290323,6.633802816901408,71,RFLR,70-30
0.5764563106796117,6.418918918918919,74,RFLR,70-30
0.5522208883553421,5.411764705882353,85,RFLR,70-30
0.5910735826296744,5.50561797752809,89,RFLR,70-30
0.5669191919191919,5.8311688311688314,77,RFLR,70-30
0.5777777777777777,5.621621621621622,74,RFLR,70-30
0.6137184115523465,6.986301369863014,73,RFLR,70-30
0.5948406676783005,5.444444444444445,72,RFLR,70-30
0.5601552393272963,5.851351351351352,74,RFLR,70-30
0.5745454545454546,5.325842696629214,89,RFLR,70-30
0.5994513031550068,5.675324675324675,77,RFLR,70-30
0.588855421686747,6.109375,64,RFLR,70-30
0.6483221476510067,7.666666666666667,63,RFLR,70-30
0.6257594167679222,7.357142857142857,70,RFLR,70-30
0.6283185840707964,7.220338983050848,59,RFLR,70-30
0.6244477172312224,7.709090909090909,55,RFLR,70-30
0.5772727272727273,7.326923076923077,52,RFLR,70-30
0.5973856209150327,7.616666666666666,60,RFLR,70-30
0.58311345646438,5.972972972972973,74,RFLR,70-30
0.6059743954480796,8.693877551020408,49,RFLR,70-30
0.603905160390516,5.551282051282051,78,RFLR,70-30
0.5701754385964912,5.064935064935065,77,RFLR,70-30
0.5707257072570726,7.138461538461539,65,RFLR,70-30
0.6364812419146184,7.130434782608695,69,RFLR,70-30
0.5870393900889453,4.914893617021277,94,RFLR,70-30
0.5938337801608579,6.611940298507463,67,RFLR,70-30
0.5804676753782668,8.115384615384615,52,RFLR,70-30
0.6057553956834533,6.682539682539683,63,RFLR,70-30
0.6183115338882283,7.323943661971831,71,RFLR,70-30
0.5790229885057471,7.901960784313726,51,RFLR,70-30
0.5861070911722142,6.864406779661017,59,RFLR,70-30
0.5763993948562783,5.291666666666667,72,RFLR,70-30
0.6216577540106952,6.940298507462686,67,RFLR,70-30
0.561119293078056,5.686567164179104,67,RFLR,70-30
0.6643109540636042,14.1,40,RFLR,70-30
0.7287104622871047,5.704761904761905,105,HMM,80-20
0.7239583333333334,4.752136752136752,117,HMM,80-20
0.7203389830508474,4.576923076923077,130,HMM,80-20
0.7026666666666667,4.216,125,HMM,80-20
0.7022556390977444,4.245454545454545,110,HMM,80-20
0.739946380697051,4.842105263157895,114,HMM,80-20
0.7100591715976331,5.0,120,HMM,80-20
0.7172131147540983,4.6875,112,HMM,80-20
0.7224383916990921,5.205607476635514,107,HMM,80-20
0.685823754789272,3.7816901408450705,142,HMM,80-20
